,title,price,link
10,DailyObjects Zippered Sleeve for MacBook & Laptop 11 Inch | Solid Burgundy PU Leather Sleeves with Inner Lining | Durable Stylish Light Weight Sleek Design with Zip Closure,899,https://amazon.in//sspa/click?ie=UTF8&spc=MTo0NDEzNzU4OTIyMzAwNTcyOjE3NjI5NjYyNTQ6c3Bfc2VhcmNoX3RoZW1hdGljX2J0ZjozMDAxOTA3MDA4ODE4MzI6OjM6Og&url=%2FDailyObjects-Burgundy-Leather-Zippered-MacBook%2Fdp%2FB082R8MJCQ%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.1ee134bc-32b2-41b4-b087-995ae57bc094%253Aamzn1.sym.1ee134bc-32b2-41b4-b087-995ae57bc094%26crid%3DBRIHOKR3DFIP%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB082R8MJCQ%26pd_rd_r%3Dbe6d8922-91cd-4a4b-bd89-cabc4dd63cca%26pd_rd_w%3DEqR0K%26pd_rd_wg%3DTT2tL%26pf_rd_p%3D1ee134bc-32b2-41b4-b087-995ae57bc094%26pf_rd_r%3D4A5CV7KEKBJ0W1XMWAGJ%26qid%3D1762966254%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlap%252Caps%252C866%26sr%3D1-116-39d2cf51-924d-44a4-921d-0c8fa4cce3c9-spons%26aref%3D2zusrtqXFs%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm%26psc%3D1&aref=2zusrtqXFs&sp_cr=ZAZ
11,"ASUS Vivobook 14, Intel Core i3 13th Gen 1315U, 8GB RAM, 512GB SSD, FHD 14"", Windows 11, Office Home 2024, Cool Silver, 1.40kg, X1404VA-NK761WS, Intel UHD, M365 Basic (1Year)*, Backlit Keyboard Laptop","34,750",https://amazon.in//ASUS-Vivobook-i3-1315U-Processor-X1404VA-NK761WS/dp/B0DTYF29BG/ref=sr_1_28?crid=BRIHOKR3DFIP&dib=eyJ2IjoiMSJ9.-pHuGMubnTtFejBeRwkv1C4crEoIRwv2OU-aWS3tnqXm7HdolD6Q19RHeZzkjdsGjtBWOyVTqKrsHD4uonBjNOprilriFE2Bl-gew3JQ8evR_k79vGGXZiX9kMZji4cJmbIHMP8ce4uWEliMe_-BwHBOjnFfzM1xclE5EzSJHOQ-ASGH2o5qTP77SrLucqtE7C-36zc2ykPLQjQ7wmE2hVsSAxYuQoYCTml-m61d_Os.ANsOfbTzTxfFEtfqwU1kjEJ59PKTss72wiCJiQ1dd5Q&dib_tag=se&keywords=laptop&qid=1762966204&sprefix=lap%2Caps%2C866&sr=8-28
12,DailyObjects PET Ambit Messenger Bag for Office & Daily Use| 100% Recycled | Stylish Shoulder Travel Bag | Fit any Laptop Upto 14 Inch | Multifunctional Adjustable Straps & G-Hook closure,"4,498.",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0NDEzNzU4OTIyMzAwNTcyOjE3NjI5NjYyNTQ6c3Bfc2VhcmNoX3RoZW1hdGljX2J0ZjozMDA2MjMwOTQzODY1MzI6OjQ6Og&url=%2FDailyObjects-Messenger-Lightweight-Resistant-Adjustable%2Fdp%2FB0F849GR97%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fcontent-id%3Damzn1.sym.1ee134bc-32b2-41b4-b087-995ae57bc094%253Aamzn1.sym.1ee134bc-32b2-41b4-b087-995ae57bc094%26crid%3DBRIHOKR3DFIP%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0F849GR97%26pd_rd_r%3Dbe6d8922-91cd-4a4b-bd89-cabc4dd63cca%26pd_rd_w%3DEqR0K%26pd_rd_wg%3DTT2tL%26pf_rd_p%3D1ee134bc-32b2-41b4-b087-995ae57bc094%26pf_rd_r%3D4A5CV7KEKBJ0W1XMWAGJ%26qid%3D1762966254%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlap%252Caps%252C866%26sr%3D1-117-39d2cf51-924d-44a4-921d-0c8fa4cce3c9-spons%26aref%3DDU0p4Jgf30%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm%26psc%3D1&aref=DU0p4Jgf30&sp_cr=ZAZ
13,"Dell 15 Intel Core i5 13th Gen - 1334U, 16GB DDR4 RAM, 512GB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'21, Grey, 1.66kg, 120Hz 250 nits Display, 15 Month McAfee, Thin & Light Laptop","52,748",https://amazon.in//Dell-Intel-Core-13th-Gen/dp/B0D2Y1BLDT/ref=sr_1_129?crid=BRIHOKR3DFIP&dib=eyJ2IjoiMSJ9.6CN7hMeL3khuMNi49jlU6hfFakG5szXxr0S3Pq7aVXr8xbNodFmQ_BFpgFUkZole30h-jhLCUJnYvzp8Zf5h-Sz1grvV_K_bM0r2PRC5MRPi7wpERJxaiVK_en07r-s1nzRc6FClZPOn1o3Yk801ywPg5pRIRqReWmmY_uGoWMKrvLJSabnrhYSic9VkRHdi-cPkhjMwkdVe2HSrrZfehWCx-G0KuKCzLFPKb7WmCm0.XgKLLxl437ymHv-ck6sLE1beSVLdWNTtN7E6RP1wTqM&dib_tag=se&keywords=laptop&qid=1762966261&sprefix=lap%2Caps%2C866&sr=8-129
14,"EDNITA Mini Laptop Stand for Desk | Portable Metal PC Desk Stand, Aluminium Cooling Pad Mini Clip Compatible with MacBook Apple Laptop, Lenovo, Dell, Hp, Acer & Other Laptops Pack of-2 (Silver)",197,https://amazon.in//EDNITA-Portable-Aluminium-Cooling-Compatible/dp/B0D7Z944C7/ref=sr_1_131?crid=BRIHOKR3DFIP&dib=eyJ2IjoiMSJ9.6CN7hMeL3khuMNi49jlU6hfFakG5szXxr0S3Pq7aVXr8xbNodFmQ_BFpgFUkZole30h-jhLCUJnYvzp8Zf5h-Sz1grvV_K_bM0r2PRC5MRPi7wpERJxaiVK_en07r-s1nzRc6FClZPOn1o3Yk801ywPg5pRIRqReWmmY_uGoWMKrvLJSabnrhYSic9VkRHdi-cPkhjMwkdVe2HSrrZfehWCx-G0KuKCzLFPKb7WmCm0.XgKLLxl437ymHv-ck6sLE1beSVLdWNTtN7E6RP1wTqM&dib_tag=se&keywords=laptop&qid=1762966261&sprefix=lap%2Caps%2C866&sr=8-131
15,"HP Victus, 12th Gen Intel Core i5-12450H, RTX 3050 (16GB DDR4, 512GB SSD) FHD, IPS, 144Hz, 15.6""/39.6cm, Win 11, Office 21, Blue, 2.3kg, fa1379TX/fa1412tx, B&O Audio, Backlit Gaming Laptop","60,490",https://amazon.in//HP-i5-12450H-15-6-inch-Backlit-fa1379TX/dp/B0D81CP85D/ref=sr_1_132?crid=BRIHOKR3DFIP&dib=eyJ2IjoiMSJ9.6CN7hMeL3khuMNi49jlU6hfFakG5szXxr0S3Pq7aVXr8xbNodFmQ_BFpgFUkZole30h-jhLCUJnYvzp8Zf5h-Sz1grvV_K_bM0r2PRC5MRPi7wpERJxaiVK_en07r-s1nzRc6FClZPOn1o3Yk801ywPg5pRIRqReWmmY_uGoWMKrvLJSabnrhYSic9VkRHdi-cPkhjMwkdVe2HSrrZfehWCx-G0KuKCzLFPKb7WmCm0.XgKLLxl437ymHv-ck6sLE1beSVLdWNTtN7E6RP1wTqM&dib_tag=se&keywords=laptop&qid=1762966261&sprefix=lap%2Caps%2C866&sr=8-132
16,"Microsoft New Surface Pro (11Th Edition) - Windows 11 Home Copilot + Pc - 13"" LCD Pixelsense Touchscreen - Qualcomm Snapdragon X Plus (10 Core,Wi-Fi) - 16Gb Ram - 256Gb Ssd - Platinum - ZHX-00014","1,13,990",https://amazon.in//Microsoft-New-Surface-Pro-11Th/dp/B0D926JN5N/ref=sr_1_133?crid=BRIHOKR3DFIP&dib=eyJ2IjoiMSJ9.6CN7hMeL3khuMNi49jlU6hfFakG5szXxr0S3Pq7aVXr8xbNodFmQ_BFpgFUkZole30h-jhLCUJnYvzp8Zf5h-Sz1grvV_K_bM0r2PRC5MRPi7wpERJxaiVK_en07r-s1nzRc6FClZPOn1o3Yk801ywPg5pRIRqReWmmY_uGoWMKrvLJSabnrhYSic9VkRHdi-cPkhjMwkdVe2HSrrZfehWCx-G0KuKCzLFPKb7WmCm0.XgKLLxl437ymHv-ck6sLE1beSVLdWNTtN7E6RP1wTqM&dib_tag=se&keywords=laptop&qid=1762966261&sprefix=lap%2Caps%2C866&sr=8-133
17,"acer TravelLite Smart FHD TL04-51M Laptop, Intel Core i5 1334u 13th Gen 8 Core with 8GB Ram / 512GB NVMe SSD/Intel Iris Xe Graphics/Windows 11/14 Inch / 1 Year Brand Warranty","38,980",https://amazon.in//acer-TravelLite-TL04-51M-Graphics-Warranty/dp/B082YFPNLW/ref=sr_1_134?crid=BRIHOKR3DFIP&dib=eyJ2IjoiMSJ9.6CN7hMeL3khuMNi49jlU6hfFakG5szXxr0S3Pq7aVXr8xbNodFmQ_BFpgFUkZole30h-jhLCUJnYvzp8Zf5h-Sz1grvV_K_bM0r2PRC5MRPi7wpERJxaiVK_en07r-s1nzRc6FClZPOn1o3Yk801ywPg5pRIRqReWmmY_uGoWMKrvLJSabnrhYSic9VkRHdi-cPkhjMwkdVe2HSrrZfehWCx-G0KuKCzLFPKb7WmCm0.XgKLLxl437ymHv-ck6sLE1beSVLdWNTtN7E6RP1wTqM&dib_tag=se&keywords=laptop&qid=1762966261&sprefix=lap%2Caps%2C866&sr=8-134
18,"Lenovo V15 G4 (2024), AMD Ryzen 3 7320U Quad Core - (8GB/512GB SSD/AMD Radeon Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" FHD Display/Arctic Grey/1.57 kg/MS Office 2021","29,980",https://amazon.in//Lenovo-V15-Ryzen-7320U-Quad/dp/B0DHFSN5M7/ref=sr_1_135?crid=BRIHOKR3DFIP&dib=eyJ2IjoiMSJ9.6CN7hMeL3khuMNi49jlU6hfFakG5szXxr0S3Pq7aVXr8xbNodFmQ_BFpgFUkZole30h-jhLCUJnYvzp8Zf5h-Sz1grvV_K_bM0r2PRC5MRPi7wpERJxaiVK_en07r-s1nzRc6FClZPOn1o3Yk801ywPg5pRIRqReWmmY_uGoWMKrvLJSabnrhYSic9VkRHdi-cPkhjMwkdVe2HSrrZfehWCx-G0KuKCzLFPKb7WmCm0.XgKLLxl437ymHv-ck6sLE1beSVLdWNTtN7E6RP1wTqM&dib_tag=se&keywords=laptop&qid=1762966261&sprefix=lap%2Caps%2C866&sr=8-135
19,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN","35,940",https://amazon.in//Lenovo-IdeaPad-Laptop-Windows-82R400ERIN/dp/B0CP2KRYLM/ref=sr_1_136?crid=BRIHOKR3DFIP&dib=eyJ2IjoiMSJ9.6CN7hMeL3khuMNi49jlU6hfFakG5szXxr0S3Pq7aVXr8xbNodFmQ_BFpgFUkZole30h-jhLCUJnYvzp8Zf5h-Sz1grvV_K_bM0r2PRC5MRPi7wpERJxaiVK_en07r-s1nzRc6FClZPOn1o3Yk801ywPg5pRIRqReWmmY_uGoWMKrvLJSabnrhYSic9VkRHdi-cPkhjMwkdVe2HSrrZfehWCx-G0KuKCzLFPKb7WmCm0.XgKLLxl437ymHv-ck6sLE1beSVLdWNTtN7E6RP1wTqM&dib_tag=se&keywords=laptop&qid=1762966261&sprefix=lap%2Caps%2C866&sr=8-136
